cik,name,arm,failed,detail
1668438,Integrated Media Technology Ltd  (IMTE)  (CIK 0001668438),IPO,C1b,"3 periodic reports predate the registration statement (earliest 20-F 2018-04-02) - already public, not a listing"
1673481,"Trident Acquisitions Corp.  (LTRY, LTRYW)  (CIK 0001673481)",DESPAC,C0,"5.2 years of EDGAR history before the registration statement (earliest filing 2016-05-03, DRS) - not a new listing"
1674440,Slinger Bag Inc.  (YYAI)  (CIK 0001674440),IPO,C1b,"17 periodic reports predate the registration statement (earliest 10-K 2017-08-03) - already public, not a listing"
1685428,LumiraDx Ltd  (CIK 0001685428),DESPAC,C1c,no 8-K Item 2.01 on or after the registration statement - business combination did not complete
1689258,5.11 ABR CORP.  (CIK 0001689258),IPO,C0,"5.0 years of EDGAR history before the registration statement (earliest filing 2016-11-04, D) - not a new listing"
1697805,Bison Capital Acquisition Corp.  (CIK 0001697805),DESPAC,C3,1 annual reports after listing (need 3)
1707910,"Reborn Coffee, Inc.  (REBN)  (CIK 0001707910)",IPO,C1b,"3 periodic reports predate the registration statement (earliest 10-K 2017-11-30) - already public, not a listing"
1708176,"Hall of Fame Resort & Entertainment Co  (HOFV, HOFVW)  (CIK 0001708176)",IPO,C1b,"11 periodic reports predate the registration statement (earliest 10-K 2018-03-30) - already public, not a listing"
1715611,BODY & MIND INC.  (BMMJ)  (CIK 0001715611),IPO,C1b,"7 periodic reports predate the registration statement (earliest 10-Q 2018-10-29) - already public, not a listing"
1723580,"BurgerFi International, Inc.  (BFI, BFIIW)  (CIK 0001723580)",IPO,C1b,"12 periodic reports predate the registration statement (earliest 10-Q 2018-05-15) - already public, not a listing"
1725206,Union Acquisition Corp.  (CIK 0001725206),DESPAC,C2,SIC 6770 (blank check) - no completed combination
1728688,"i3 Verticals, Inc.  (IIIV)  (CIK 0001728688)",IPO,C1b,"4 periodic reports predate the registration statement (earliest 10-Q 2018-08-13) - already public, not a listing"
1731176,Tottenham Acquisition I Ltd  (CIK 0001731176),DESPAC,C1c,no 8-K Item 2.01 on or after the registration statement - business combination did not complete
1734551,"ArcherDX, Inc.  (CIK 0001734551)",IPO,C3,0 annual reports after listing (need 3)
1737189,"Redaptive, Inc.  (CIK 0001737189)",IPO,C3,0 annual reports after listing (need 3)
1737422,New Frontier Health Corp  (CIK 0001737422),IPO,C1b,"6 periodic reports predate the registration statement (earliest 10-Q 2018-08-13) - already public, not a listing"
1741231,"Tattooed Chef, Inc.  (TTCFQ)  (CIK 0001741231)",IPO,C1b,"9 periodic reports predate the registration statement (earliest 10-Q 2018-09-06) - already public, not a listing"
1741530,"360 Finance, Inc.  (QFIN)  (CIK 0001741530)",IPO,C1b,"1 periodic reports predate the registration statement (earliest 20-F 2019-04-26) - already public, not a listing"
1743725,"GRID DYNAMICS HOLDINGS, INC.  (GDYN)  (CIK 0001743725)",IPO,C1b,"7 periodic reports predate the registration statement (earliest 10-Q 2018-11-16) - already public, not a listing"
1747661,"Color Star Technology Co., Ltd.  (ADD)  (CIK 0001747661)",IPO,C1b,"2 periodic reports predate the registration statement (earliest 20-F 2019-11-15) - already public, not a listing"
1748621,Alberton Acquisition Corp  (CIK 0001748621),DESPAC,C1c,no 8-K Item 2.01 on or after the registration statement - business combination did not complete
1751143,"ATLAS TECHNICAL CONSULTANTS, INC.  (CIK 0001751143)",DESPAC,C1c,"combination completed 2023-04-19, beyond the window end plus 12 months (2022-12-31)"
1752108,Reebonz Holding Ltd  (CIK 0001752108),IPO,C3,1 annual reports after listing (need 3)
1752234,YX Asset Recovery Ltd  (CIK 0001752234),IPO,C3,0 annual reports after listing (need 3)
1753268,Ruhnn Holding Ltd  (CIK 0001753268),IPO,C3,2 annual reports after listing (need 3)
